interval,level,beta,se,p,n,n_params,n_dropped_redundant,n_clusters,r2,n_other_params_unstable
interval3,sector,0.15650055973555285,0.11814560108615854,0.18529010282262737,1047,127,2,24,0.9811719300654321,1
interval3,country,0.0883248575038568,0.12042393011576105,0.46328438783005066,349,43,0,24,0.9876653653712552,0
interval5,sector,0.1289255519187759,0.1348508635154207,0.3390417896806682,600,103,2,24,0.9817544096550692,2
interval5,country,0.06386882503138108,0.13921455191589685,0.64639229814522,200,35,0,24,0.9879295845637251,0
