african_iso3,northern_iso3,year,level,not_yet_country
AGO,AUS,1950,0.0,False
AGO,AUS,1951,0.0,False
AGO,AUS,1952,0.0,False
AGO,AUS,1953,0.0,False
AGO,AUS,1954,0.0,False
AGO,AUS,1955,0.0,False
AGO,AUS,1956,0.0,False
AGO,AUS,1957,0.0,False
AGO,AUS,1958,0.0,False
AGO,AUS,1959,0.0,False
AGO,AUS,1960,0.0,False
AGO,AUS,1961,0.0,False
AGO,AUS,1962,0.0,False
AGO,AUS,1963,0.0,False
AGO,AUS,1964,0.0,False
AGO,AUS,1965,0.0,False
AGO,AUS,1966,0.0,False
AGO,AUS,1967,0.0,False
AGO,AUS,1968,0.0,False
AGO,AUS,1969,0.0,False
AGO,AUS,1970,0.0,False
AGO,AUS,1971,0.0,False
AGO,AUS,1972,0.0,False
AGO,AUS,1973,0.0,False
AGO,AUS,1974,0.0,False
AGO,AUS,1975,0.0,False
AGO,AUS,1976,0.0,False
AGO,AUS,1977,0.0,False
AGO,AUS,1978,0.0,False
AGO,AUS,1979,0.0,False
AGO,AUS,1980,0.0,False
AGO,AUS,1981,0.0,False
AGO,AUS,1982,0.0,False
AGO,AUS,1983,0.0,False
AGO,AUS,1984,0.0,False
AGO,AUS,1985,0.0,False
AGO,AUS,1986,0.0,False
AGO,AUS,1987,0.0,False
AGO,AUS,1988,0.0,False
AGO,AUS,1989,0.0,False
AGO,AUS,1990,0.0,False
AGO,AUS,1991,0.0,False
AGO,AUS,1992,0.0,False
AGO,AUS,1993,0.0,False
AGO,AUS,1994,0.0,False
AGO,AUS,1995,0.0,False
AGO,AUS,1996,0.0,False
AGO,AUS,1997,0.0,False
AGO,AUS,1998,0.0,False
AGO,AUS,1999,0.0,False
AGO,AUS,2000,0.0,False
AGO,AUS,2001,0.0,False
AGO,AUS,2002,0.0,False
AGO,AUS,2003,0.0,False
AGO,AUS,2004,0.0,False
AGO,AUS,2005,0.0,False
AGO,AUS,2006,0.0,False
AGO,AUS,2007,0.0,False
AGO,AUS,2008,0.0,False
AGO,AUS,2009,0.0,False
AGO,AUS,2010,0.0,False
AGO,AUS,2011,0.0,False
AGO,AUS,2012,0.0,False
AGO,AUS,2013,0.0,False
AGO,AUS,2014,0.0,False
AGO,AUS,2015,1.0,False
AGO,AUS,2016,1.0,False
AGO,AUS,2017,1.0,False
AGO,AUT,1950,0.0,False
AGO,AUT,1951,0.0,False
AGO,AUT,1952,0.0,False
AGO,AUT,1953,0.0,False
AGO,AUT,1954,0.0,False
AGO,AUT,1955,0.0,False
AGO,AUT,1956,0.0,False
AGO,AUT,1957,0.0,False
AGO,AUT,1958,0.0,False
AGO,AUT,1959,0.0,False
AGO,AUT,1960,0.0,False
AGO,AUT,1961,0.0,False
AGO,AUT,1962,0.0,False
AGO,AUT,1963,0.0,False
AGO,AUT,1964,0.0,False
AGO,AUT,1965,0.0,False
AGO,AUT,1966,0.0,False
AGO,AUT,1967,0.0,False
AGO,AUT,1968,0.0,False
AGO,AUT,1969,0.0,False
AGO,AUT,1970,0.0,False
AGO,AUT,1971,0.0,False
AGO,AUT,1972,0.0,False
AGO,AUT,1973,0.0,False
AGO,AUT,1974,0.0,False
AGO,AUT,1975,0.0,False
AGO,AUT,1976,0.0,False
AGO,AUT,1977,0.0,False
AGO,AUT,1978,0.0,False
AGO,AUT,1979,0.0,False
AGO,AUT,1980,0.0,False
AGO,AUT,1981,0.0,False
AGO,AUT,1982,0.0,False
AGO,AUT,1983,0.0,False
AGO,AUT,1984,0.0,False
AGO,AUT,1985,0.0,False
AGO,AUT,1986,0.0,False
AGO,AUT,1987,0.0,False
AGO,AUT,1988,0.0,False
AGO,AUT,1989,0.0,False
AGO,AUT,1990,0.0,False
AGO,AUT,1991,0.0,False
AGO,AUT,1992,0.0,False
AGO,AUT,1993,0.0,False
AGO,AUT,1994,0.0,False
AGO,AUT,1995,1.0,False
AGO,AUT,1996,1.0,False
AGO,AUT,1997,1.0,False
AGO,AUT,1998,1.0,False
AGO,AUT,1999,1.0,False
AGO,AUT,2000,1.0,False
AGO,AUT,2001,1.0,False
AGO,AUT,2002,1.0,False
AGO,AUT,2003,1.0,False
AGO,AUT,2004,1.0,False
AGO,AUT,2005,1.0,False
AGO,AUT,2006,1.0,False
AGO,AUT,2007,1.0,False
AGO,AUT,2008,1.0,False
AGO,AUT,2009,1.0,False
AGO,AUT,2010,1.0,False
AGO,AUT,2011,1.0,False
AGO,AUT,2012,1.0,False
AGO,AUT,2013,1.0,False
AGO,AUT,2014,1.0,False
AGO,AUT,2015,1.0,False
AGO,AUT,2016,1.0,False
AGO,AUT,2017,1.0,False
AGO,BEL,1950,0.0,False
AGO,BEL,1951,0.0,False
AGO,BEL,1952,0.0,False
AGO,BEL,1953,0.0,False
AGO,BEL,1954,0.0,False
AGO,BEL,1955,0.0,False
AGO,BEL,1956,0.0,False
AGO,BEL,1957,0.0,False
AGO,BEL,1958,0.0,False
AGO,BEL,1959,0.0,False
AGO,BEL,1960,0.0,False
AGO,BEL,1961,0.0,False
AGO,BEL,1962,0.0,False
AGO,BEL,1963,0.0,False
AGO,BEL,1964,0.0,False
AGO,BEL,1965,0.0,False
AGO,BEL,1966,0.0,False
AGO,BEL,1967,0.0,False
AGO,BEL,1968,0.0,False
AGO,BEL,1969,0.0,False
AGO,BEL,1970,0.0,False
AGO,BEL,1971,0.0,False
AGO,BEL,1972,1.0,False
AGO,BEL,1973,1.0,False
AGO,BEL,1974,1.0,False
AGO,BEL,1975,1.0,False
AGO,BEL,1976,1.0,False
AGO,BEL,1977,1.0,False
AGO,BEL,1978,1.0,False
AGO,BEL,1979,1.0,False
AGO,BEL,1980,1.0,False
AGO,BEL,1981,1.0,False
AGO,BEL,1982,1.0,False
AGO,BEL,1983,1.0,False
AGO,BEL,1984,1.0,False
AGO,BEL,1985,1.0,False
AGO,BEL,1986,1.0,False
AGO,BEL,1987,1.0,False
AGO,BEL,1988,1.0,False
AGO,BEL,1989,1.0,False
AGO,BEL,1990,1.0,False
AGO,BEL,1991,1.0,False
AGO,BEL,1992,1.0,False
AGO,BEL,1993,1.0,False
AGO,BEL,1994,1.0,False
AGO,BEL,1995,1.0,False
AGO,BEL,1996,1.0,False
AGO,BEL,1997,1.0,False
AGO,BEL,1998,1.0,False
AGO,BEL,1999,1.0,False
AGO,BEL,2000,1.0,False
AGO,BEL,2001,1.0,False
AGO,BEL,2002,1.0,False
AGO,BEL,2003,1.0,False
AGO,BEL,2004,1.0,False
AGO,BEL,2005,1.0,False
AGO,BEL,2006,1.0,False
AGO,BEL,2007,1.0,False
AGO,BEL,2008,1.0,False
AGO,BEL,2009,1.0,False
AGO,BEL,2010,1.0,False
AGO,BEL,2011,1.0,False
AGO,BEL,2012,1.0,False
AGO,BEL,2013,1.0,False
AGO,BEL,2014,1.0,False
AGO,BEL,2015,1.0,False
AGO,BEL,2016,1.0,False
AGO,BEL,2017,1.0,False
AGO,CAN,1950,0.0,False
AGO,CAN,1951,0.0,False
AGO,CAN,1952,0.0,False
AGO,CAN,1953,0.0,False
AGO,CAN,1954,0.0,False
AGO,CAN,1955,0.0,False
AGO,CAN,1956,0.0,False
AGO,CAN,1957,0.0,False
AGO,CAN,1958,0.0,False
AGO,CAN,1959,0.0,False
AGO,CAN,1960,0.0,False
AGO,CAN,1961,0.0,False
AGO,CAN,1962,0.0,False
AGO,CAN,1963,0.0,False
AGO,CAN,1964,0.0,False
AGO,CAN,1965,0.0,False
AGO,CAN,1966,0.0,False
AGO,CAN,1967,0.0,False
AGO,CAN,1968,0.0,False
AGO,CAN,1969,0.0,False
AGO,CAN,1970,0.0,False
AGO,CAN,1971,0.0,False
AGO,CAN,1972,0.0,False
AGO,CAN,1973,0.0,False
AGO,CAN,1974,0.0,False
AGO,CAN,1975,0.0,False
