broad_sector,event_time,mean,sem,count
Agriculture,-10.0,-0.035075961659336026,0.08359570379690945,16
Agriculture,-9.0,-0.003908202113217414,0.0753966984543291,16
Agriculture,-8.0,-0.034080140687701314,0.0642944491852056,16
Agriculture,-7.0,-0.041308723349748215,0.06447934079165134,16
Agriculture,-6.0,0.0043190849515311325,0.0454478641517639,16
Agriculture,-5.0,-0.04150195787007658,0.035976917193832766,16
Agriculture,-4.0,0.01139215240689137,0.03308908628854438,16
Agriculture,-3.0,0.008822345977456736,0.023180323782388497,16
Agriculture,-2.0,-0.002200018450508927,0.018162797568044172,16
Agriculture,-1.0,0.0,0.0,16
Agriculture,0.0,0.025707910333836098,0.024911430630420724,16
Agriculture,1.0,0.07299083223024128,0.02104688475844081,16
Agriculture,2.0,0.0821958779260547,0.024821640423873578,16
Agriculture,3.0,0.09675770395427051,0.02504782402386053,16
Agriculture,4.0,0.12228149653917653,0.027519463966191083,16
Agriculture,5.0,0.12116051044214415,0.048814243562899075,16
Agriculture,6.0,0.14657974774666968,0.05209746352648908,16
Agriculture,7.0,0.14640726075634894,0.048820133420240795,16
Manufacturing,-10.0,-0.09282332947289915,0.07492857939548236,16
Manufacturing,-9.0,-0.06255834054038012,0.07132077413665376,16
Manufacturing,-8.0,-0.0691456879718917,0.06520205317951296,16
Manufacturing,-7.0,-0.07590200886938446,0.06282787781187407,16
Manufacturing,-6.0,-0.07513560828713763,0.06645133253515631,16
Manufacturing,-5.0,-0.05924730077981824,0.04808374577165522,16
Manufacturing,-4.0,-0.0698336913202084,0.04984989174525695,16
Manufacturing,-3.0,-0.0476498956651667,0.042417644653911894,16
Manufacturing,-2.0,-0.03419661039047592,0.01804738709283532,16
Manufacturing,-1.0,0.0,0.0,16
Manufacturing,0.0,0.008615972190109247,0.012563557173613071,16
Manufacturing,1.0,0.007563758863375056,0.021816385720145954,16
Manufacturing,2.0,0.017327720329549684,0.037127492441248,16
Manufacturing,3.0,0.021202150035772027,0.041040312453771696,16
Manufacturing,4.0,0.01954883034840893,0.04436663807253276,16
Manufacturing,5.0,0.015587396042370028,0.03977099944627595,16
Manufacturing,6.0,0.026640923773139175,0.03579177770484099,16
Manufacturing,7.0,0.030398047969001155,0.039883829775931454,16
Services,-10.0,-0.06518598818688359,0.044477031765682455,16
Services,-9.0,-0.06418896625276191,0.040546114152541224,16
Services,-8.0,-0.06806153150695805,0.03916795177856647,16
Services,-7.0,-0.07928568486489546,0.03482214473174837,16
Services,-6.0,-0.0821859016012284,0.03083226303232999,16
Services,-5.0,-0.07338130737838366,0.029271181876916897,16
Services,-4.0,-0.047192340410355194,0.02137995997002341,16
Services,-3.0,-0.03126225103926494,0.015751309932582558,16
Services,-2.0,-0.013377184810159842,0.006918503841203174,16
Services,-1.0,0.0,0.0,16
Services,0.0,0.013590554460723478,0.010242759606702815,16
Services,1.0,0.03849202490329119,0.016733740710793567,16
Services,2.0,0.06676675243424778,0.02882784917825956,16
Services,3.0,0.08084623264512787,0.022588483918973345,16
Services,4.0,0.09142158059138589,0.030989737555949515,16
Services,5.0,0.11621070645890269,0.03384550239858235,16
Services,6.0,0.13267185642313592,0.035574670638565356,16
Services,7.0,0.14703349929919746,0.03713318519274217,16
