iso3,year0,year1,broad_sector,employment_share_0,employment_share_1,productivity_0,productivity_1,contribution_productivity_0,contribution_productivity_1,within,structural_change,short_series,country_productivity_0,country_productivity_1,country_actual_change,country_decomposed_change,country,country_exists_pre,depth_score_pre,agreement_type_pre,reciprocal_pre,fta_or_deeper_pre,nonreciprocal_only_pre,reciprocal_trade_share_pre,reciprocal_gdp_share_pre,gdp_african_pre,gdpcap_african_pre,pop_african_pre,wto_african_pre,gatt_african_pre,reciprocal_post,country_exists_post,treatment_status,reciprocal_interval
BFA,1978,1981,Manufacturing,0.0351495545408543,0.0351293602540638,2609.4858360605954,2790.165088136512,91.72226604456456,98.01671963128632,0.0692394488478274,-0.0006143062498074,False,319.0766948031552,429.5138849270306,0.3461148743314091,0.3461148743314091,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,1475583.616,0.226,6530.82,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1978,1981,Services,0.0804851534943435,0.0804389124890264,1478.2267012352936,2451.675309305393,118.97530245097256,197.2100994680937,0.6585246270560839,-0.0009528839679736,False,319.0766948031552,429.5138849270306,0.3461148743314091,0.3461148743314091,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,1475583.616,0.226,6530.82,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1981,1984,Agriculture,0.8844317272569097,0.8850642876027502,151.83429278837136,137.90757667199486,134.28706582765062,122.0570711022208,-0.0917231269736128,0.00064961479243,False,429.5138849270306,409.3127819198578,-0.0470324795451135,-0.0470324795451134,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,1775842.304,0.254,6985.158,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1981,1984,Manufacturing,0.0351293602540638,0.0349370792621552,2790.165088136512,2472.3477032853816,98.01671963128632,86.37660826359249,-0.1139063616209309,-0.0048500241414259,False,429.5138849270306,409.3127819198578,-0.0470324795451135,-0.0470324795451134,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,1775842.304,0.254,6985.158,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1981,1984,Services,0.0804389124890264,0.0799986331350945,2451.675309305393,2511.031600081544,197.2100994680937,200.87910255404452,0.0242105080284426,-0.0056059685254113,False,429.5138849270306,409.3127819198578,-0.0470324795451135,-0.0470324795451134,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,1775842.304,0.254,6985.158,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1984,1987,Agriculture,0.8850642876027502,0.8863739307571472,137.90757667199486,139.5978221215772,122.0570711022208,123.73587031903942,0.0122563639385998,0.0014978512138566,False,409.3127819198578,399.3528179663774,-0.0243333812024236,-0.0243333812024237,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,1459880.192,0.194,7531.244,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1984,1987,Manufacturing,0.0349370792621552,0.0345389861057764,2472.3477032853816,2612.6580906205418,86.37660826359249,90.23855823780784,0.0567518443562219,-0.0120412444397494,False,409.3127819198578,399.3528179663774,-0.0243333812024236,-0.0243333812024237,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,1459880.192,0.194,7531.244,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1984,1987,Services,0.0799986331350945,0.0790870831370763,2511.031600081544,2343.978007880679,200.87910255404452,185.37838940953012,-0.0665278635956754,-0.0106365250711054,False,409.3127819198578,399.3528179663774,-0.0243333812024236,-0.0243333812024237,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,1459880.192,0.194,7531.244,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1987,1990,Agriculture,0.8863739307571472,0.8865498746748641,139.5978221215772,138.6434826636213,123.73587031903942,122.91436217992018,-0.0068363491883472,0.0001971415196164,False,399.3528179663774,393.72631564960216,-0.0140890512440279,-0.0140890512440279,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,2369835.008,0.291,8140.076,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1987,1990,Manufacturing,0.0345389861057764,0.0344855051983257,2612.6580906205418,2298.723777364972,90.23855823780784,79.2726547374091,-0.1201588883504607,-0.0013623738964386,False,399.3528179663774,393.72631564960216,-0.0140890512440279,-0.0140890512440279,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,2369835.008,0.291,8140.076,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1987,1990,Services,0.0790870831370763,0.0789646201268101,2343.978007880679,2425.634196306913,185.37838940953012,191.53929873227287,0.0348366249524027,-0.0016023879824595,False,399.3528179663774,393.72631564960216,-0.0140890512440279,-0.0140890512440279,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,2369835.008,0.291,8140.076,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1990,1993,Agriculture,0.8865498746748641,0.8869728892816383,138.6434826636213,172.51093949562346,122.91436217992018,153.01252643712303,0.244277308830822,0.0005937031762664,False,393.72631564960216,388.9280960750296,-0.0121866875132695,-0.0121866875132695,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,3101300.736,0.352,8811.033,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1990,1993,Manufacturing,0.0344855051983257,0.0343569216792546,2298.723777364972,2013.4295263281565,79.2726547374091,69.17524145075309,-0.1241098755770269,-0.0032658672955149,False,393.72631564960216,388.9280960750296,-0.0121866875132695,-0.0121866875132695,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,3101300.736,0.352,8811.033,0.0,1.0,0.0,True,never_reciprocal,0
