iso3,year0,year1,Y0,Y1,within,structural_change,actual_change,decomposed_change,within_level,structural_change_level,short_series
AGO,2002,2005,737.2029754414305,825.6386596738698,0.11654164560567036,0.0034194603292113986,0.11996110593488161,0.11996110593488175,85.9148479033409,2.5208363290985765,False
AGO,2005,2008,825.6386596738698,935.3162676446102,0.17792765346071385,-0.04508793394701856,0.13283971951369553,0.13283971951369528,146.90394932222057,-37.22634135148038,False
AGO,2008,2011,935.3162676446102,875.968966609573,0.0029787189913987686,-0.06643030546330982,-0.06345158647191114,-0.06345158647191104,2.786044329397214,-62.13334536443429,False
AGO,2011,2014,875.968966609573,943.805516085225,0.08654085731464688,-0.009099130425379923,0.07744172688926695,0.07744172688926695,75.80710535141773,-7.9705558757657755,False
AGO,2014,2017,943.805516085225,896.4011346575719,-0.07827583170700418,0.028048978165948438,-0.05022685354105572,-0.050226853541055744,-73.8771617412293,26.472780313576173,False
BFA,1972,1975,214.11279977996048,235.39856134564735,0.10085196165008721,-0.0014381872864722295,0.09941377436361501,0.09941377436361498,21.593695872201376,-0.30793430651451315,False
BFA,1975,1978,235.39856134564735,319.0766948031552,0.3571932328271931,-0.0017189555879236502,0.3554742772392695,0.35547427723926944,84.08277312992212,-0.40463967241428866,False
BFA,1978,1981,319.0766948031552,429.51388492703063,0.34661515550698413,-0.0005002811755749662,0.34611487433140914,0.34611487433140914,110.59681818785015,-0.1596280639746972,False
BFA,1981,1984,429.51388492703063,409.3127819198578,-0.04355482200012722,-0.003477657544986198,-0.047032479545113574,-0.047032479545113415,-18.707400804579944,-1.4937022025928217,False
BFA,1984,1987,409.3127819198578,399.3528179663774,-0.017018891490173323,-0.007314489712250439,-0.02433338120242361,-0.024333381202423763,-6.966049821035037,-2.9939141324454073,False
BFA,1987,1990,399.3528179663774,393.72631564960216,-0.01309846531527028,-0.0009905859287576994,-0.014089051244027954,-0.01408905124402798,-5.2309090346880405,-0.39559328208722844,False
BFA,1990,1993,393.72631564960216,388.92809607502954,-0.010129514573692402,-0.0020571729395771144,-0.012186687513269501,-0.012186687513269515,-3.9882564524188595,-0.8099631221537589,False
BFA,1993,1996,388.92809607502954,416.2218285908549,0.02369446232368968,0.046482346169364225,0.07017680849305374,0.07017680849305391,9.215442119074147,18.07829039675127,False
BFA,1996,1999,416.2218285908549,504.5927751694925,0.10009878525276382,0.11221815852172033,0.21231694377448432,0.21231694377448415,41.66329943762866,46.70764714100886,False
BFA,1999,2002,504.5927751694925,547.7163972617798,-0.00509227381279955,0.09055450041285748,0.085462226600058,0.08546222660005794,-2.5695245751234577,45.69314666741071,False
BFA,2002,2005,547.7163972617798,632.2321417059118,0.05816734820589208,0.0961383195934563,0.15430566779934815,0.15430566779934837,31.85921039760266,52.65653404652946,False
BFA,2005,2008,632.2321417059118,702.1650512287837,-0.015831122672702903,0.12644383105886048,0.11061270838615764,0.11061270838615758,-10.008944592971975,79.94185411584385,False
BFA,2008,2011,702.1650512287837,722.1373097872554,-0.12199050868288264,0.1504343318602401,0.02844382317735752,0.02844382317735747,-85.65747177874167,105.62973033721333,False
BFA,2011,2014,722.1373097872554,665.9654285010874,-0.14632730748626985,0.0685417111393418,-0.077785596346928,-0.07778559634692805,-105.66840817654742,49.496526890379435,False
BFA,2014,2017,665.9654285010874,690.7072636390134,0.017114964003261027,0.02003686712649194,0.037151831129752906,0.03715183112975297,11.397974336212418,13.343860801713557,False
BWA,1969,1972,26.413502460424034,41.01321398157313,0.31603625017880244,0.23670042467240995,0.5527366748512124,0.5527366748512124,8.347624271680983,6.252087249468114,False
BWA,1972,1975,41.01321398157313,41.52592348423903,0.01972282694413152,-0.007221746124270565,0.012501080819861008,0.012501080819860955,0.8088965217812021,-0.2961870191153051,False
BWA,1975,1978,41.52592348423903,55.2526544752989,0.43473256181316483,-0.10417444680171217,0.3305581150114526,0.33055811501145266,18.052671097960697,-4.325940106900829,False
BWA,1978,1981,55.2526544752989,58.43998177686343,-0.06045743168534892,0.1181438420819654,0.057686410396616414,0.05768641039661648,-3.3404335833745713,6.527760884939112,False
BWA,1981,1984,58.43998177686343,79.39602134213541,0.35062716177757497,0.00796363390895826,0.35859079568653357,0.35859079568653324,20.490644944754827,0.46539462051713243,False
BWA,1984,1987,79.39602134213541,81.95232958982191,0.1298849757295554,-0.09768804439126072,0.03219693133829454,0.03219693133829468,10.312350305046522,-7.756042057360007,False
BWA,1987,1990,81.95232958982191,90.00285560394065,0.08507402438829392,0.013160230262089826,0.09823425465038357,0.09823425465038375,6.972014486202012,1.0785115279167339,False
BWA,1990,1993,90.00285560394065,89.74154695800502,-0.012477243929161143,0.009573906649669471,-0.0029033372794916874,-0.0029033372794916718,-1.1229875836914354,0.8616789377558085,False
BWA,1993,1996,89.74154695800502,98.50298483647762,0.0951187852602795,0.002510887677858599,0.09762967293813825,0.0976296729381381,8.536106934023769,0.22533094444882362,False
BWA,1996,1999,98.50298483647762,102.14041371120315,0.24608838288122964,-0.20916128995339667,0.03692709292783295,0.03692709292783297,24.240440247383063,-20.60301137265753,False
BWA,1999,2002,102.14041371120315,109.31098862706324,0.04993952128205088,0.0202635908390192,0.07020311212107017,0.07020311212107008,5.100843364288112,2.069731551571967,False
BWA,2002,2005,109.31098862706324,105.53298100900821,-0.06816333826544921,0.03360132702114075,-0.03456201124430841,-0.03456201124430846,-7.451001893917184,3.6729942758621488,False
BWA,2005,2008,105.53298100900821,113.2278556635188,0.1092984140031825,-0.03638400771105129,0.07291440629213114,0.07291440629213122,11.534587449312577,-3.839712794801984,False
BWA,2008,2011,113.2278556635188,112.53462424534416,0.0013572044681311255,-0.007479650346067168,-0.0061224458779359165,-0.006122445877936042,0.15367335162343387,-0.8469047697980817,False
BWA,2011,2014,112.53462424534416,116.32731675440715,0.027146587506951658,0.006555862156845159,0.03370244966379671,0.03370244966379682,3.054931024638159,0.7377614844248416,False
BWA,2014,2017,116.32731675440715,112.6145422020291,-0.03896546007613469,0.007048841899369509,-0.03191661817676534,-0.03191661817676518,-4.532747416757726,0.8199728643796937,False
CMR,1966,1969,465.21152374228245,535.2828414594907,0.1490775815928378,0.0015449076213938644,0.15062248921423166,0.15062248921423166,69.3526088886185,0.7187088285897049,False
CMR,1969,1972,535.2828414594907,604.5108230671967,0.1286846777890814,0.0006450452017591498,0.12932972299084075,0.12932972299084056,68.88269997923851,0.34528162846744814,False
CMR,1972,1975,604.5108230671967,794.7085536203145,0.31355573592493363,0.0010750751300004867,0.314630811054934,0.3146308110549341,189.5478360014222,0.6498945516956678,False
CMR,1975,1978,794.7085536203145,985.6318613807034,0.24171569967317752,-0.0014725226108027148,0.24024317706237464,0.2402431770623748,192.09353407459324,-1.1702263142042348,False
CMR,1978,1981,985.6318613807034,1321.9576782003824,0.34346451405797424,-0.002235876878426004,0.3412286371795484,0.3412286371795482,338.5295683091799,-2.2037514895010992,False
CMR,1981,1984,1321.9576782003824,1746.4826218144076,0.3223319175380415,-0.001198381559837775,0.32113353597820377,0.32113353597820377,426.1091533184665,-1.5842097044412977,False
CMR,1984,1987,1746.4826218144076,1479.0240323683834,-0.18434978354671785,0.03120850054433483,-0.1531412830023831,-0.15314128300238303,-321.9636932995903,54.50510385356626,False
CMR,1987,1990,1479.0240323683834,1463.3902825006674,-0.1142239118722078,0.10365359690397723,-0.0105703149682304,-0.010570314968230576,-168.93991073012364,153.30616086240738,False
CMR,1990,1993,1463.3902825006674,1514.0400006076652,-0.08652181828472194,0.12113303493189481,0.0346112166471727,0.03461121664717287,-126.61518810215064,177.26490620914876,False
CMR,1993,1996,1514.0400006076652,1645.313850933499,-0.017091188556830873,0.10379553604642575,0.0867043474895951,0.08670434748959488,-25.876743132969935,157.15059345880337,False
CMR,1996,1999,1645.313850933499,1798.0265414762523,-0.00318257258883717,0.09599932633834772,0.09281675374951044,0.09281675374951055,-5.236330762015079,157.94902130476856,False
CMR,1999,2002,1798.0265414762523,1753.94379834631,-0.0757059533217746,0.051188660549361734,-0.024517292772412966,-0.024517292772412866,-136.121313420313,92.03857029037076,False
CMR,2002,2005,1753.94379834631,1523.9379721524688,-0.1321404223296634,0.001004050451214405,-0.13113637187844904,-0.13113637187844898,-231.76687425597532,1.76104806213432,False
CMR,2005,2008,1523.9379721524688,1239.7069811560768,-0.18515369574124793,-0.0013571703112157049,-0.18651086605246348,-0.18651086605246364,-282.16274762445255,-2.0682433719395963,False
CMR,2008,2011,1239.7069811560768,1167.317934406516,-0.05839206712694732,5.2527334212605e-09,-0.05839206187421405,-0.0583920618742139,-72.38905326141085,6.5118502924884856e-06,False
CMR,2011,2014,1167.317934406516,1256.816921788915,0.07667062097299288,-3.016710618717346e-09,0.07667061795628248,0.07667061795628226,89.49899090385895,-3.5214604081433354e-06,False
CMR,2014,2017,1256.816921788915,1335.8780744782948,0.04824997695338843,0.01465588572138102,0.06290586267476944,0.06290586267476946,60.64138751094374,18.419765178436204,False
DZA,1999,2002,1189.5918392420554,1190.6497140488368,0.02698651860088256,-0.026097243160446117,0.0008892754404363411,0.0008892754404364427,32.10294229716382,-31.045067490382245,False
DZA,2002,2005,1190.6497140488368,1150.8089547756094,-0.04993252441842299,0.01647116395015577,-0.033461360468267184,-0.03346136046826722,-59.4521459205319,19.611386647304478,False
