iso3,year0,year1,within,structural_change,Y0,Y1,actual_change,decomposed_change
AGO,2002,2003,-4.190292716526692,0.09434889287596215,737.2029740134831,733.1070301898324,-4.095943823650714,-4.09594382365073
AGO,2003,2004,48.50777083488347,2.8750424577315616,733.1070301898324,784.4898434824472,51.382813292614856,51.38281329261503
AGO,2004,2005,57.738138158977954,-16.589341269168504,784.4898434824472,825.6386403722568,41.148796889809546,41.14879688980945
AGO,2005,2006,53.91244549573611,-20.36170803691904,825.6386403722568,859.1893778310738,33.550737458817025,33.55073745881707
AGO,2006,2007,64.78945350415606,-17.906633541062373,859.1893778310738,906.0721977941676,46.882819963093766,46.88281996309368
AGO,2007,2008,49.91790463306077,-20.673812335311034,906.0721977941676,935.3162900919172,29.244092297749603,29.244092297749738
AGO,2008,2009,-8.74773258689109,-22.5359441996549,935.3162900919172,904.0326133053711,-31.28367678654604,-31.28367678654599
AGO,2009,2010,8.79550160010237,-24.723675179586376,904.0326133053711,888.1044397258872,-15.928173579483882,-15.928173579484007
AGO,2010,2011,15.326555985354197,-27.46201295911429,888.1044397258872,875.9689827521272,-12.135456973760029,-12.135456973760093
AGO,2011,2012,32.889071442570824,9.266584536833319,875.9689827521272,918.1246387315313,42.15565597940406,42.155655979404145
AGO,2012,2013,10.561366255545385,6.626841733904976,918.1246387315313,935.3128467209816,17.188207989450348,17.188207989450362
AGO,2013,2014,3.885527805893121,4.607116016437963,935.3128467209816,943.8054905433128,8.49264382233116,8.492643822331084
AGO,2014,2015,-16.372292259994907,3.2558901222962504,943.8054905433128,930.689088405614,-13.116402137698742,-13.116402137698657
AGO,2015,2016,-50.20311206180446,1.3182975468396798,930.689088405614,881.8042738906493,-48.88481451496477,-48.88481451496478
AGO,2016,2017,17.143241993344567,-2.5464046440865973,881.8042738906493,896.4011112399073,14.596837349258067,14.59683734925797
BFA,1970,1971,-0.589284945547581,-0.10204168380394213,203.32338001864397,202.63205338929245,-0.6913266293515221,-0.6913266293515232
BFA,1971,1972,11.578619923674864,-0.09786973358194147,202.63205338929245,214.1128035793854,11.480750190092948,11.480750190092923
BFA,1972,1973,5.261023699736369,-0.10587975048046785,214.1128035793854,219.2679475286413,5.155143949255887,5.155143949255901
BFA,1973,1974,15.98927611938324,-0.10810381646030703,219.2679475286413,235.14911983156424,15.881172302922948,15.881172302922932
BFA,1974,1975,0.35091895790165406,-0.10147744381853907,235.14911983156424,235.39856134564735,0.24944151408311654,0.249441514083115
BFA,1975,1976,13.530127990048488,-0.11328246976202871,235.39856134564735,248.81540686593377,13.416845520286415,13.41684552028646
BFA,1976,1977,25.996177131622535,-0.11678724325290377,248.81540686593377,274.6947967543034,25.879389888369644,25.87938988836963
BFA,1977,1978,44.51525714806159,-0.13335992818844283,274.6947967543034,319.0766939741766,44.38189721987317,44.38189721987315
BFA,1978,1979,78.10279195260688,-0.16475033169381137,319.0766939741766,397.01473559508963,77.93804162091305,77.93804162091307
BFA,1979,1980,12.548202578595866,-0.17754421870164055,397.01473559508963,409.3853939549839,12.370658359894264,12.370658359894225
BFA,1980,1981,19.917366933823352,0.21111514502612808,409.3853939549839,429.51387603383336,20.12848207884946,20.12848207884948
BFA,1981,1982,11.635012639839639,-0.14545030593060382,429.51387603383336,441.00343836774243,11.489562333909078,11.489562333909035
BFA,1982,1983,-2.710342430730668,-0.5847748160633214,441.00343836774243,437.70832112094837,-3.2951172467940637,-3.295117246793989
BFA,1983,1984,-27.57404115803091,-0.8215054218549265,437.70832112094837,409.3127745410626,-28.395546579885774,-28.395546579885835
BFA,1984,1985,9.847999764857912,-1.2215053715564623,409.3127745410626,417.939268934364,8.626494393301414,8.62649439330145
BFA,1985,1986,5.1761685395679695,-0.9766476716167947,417.939268934364,422.13878980231516,4.199520867951151,4.199520867951175
BFA,1986,1987,-21.967447518255177,-0.8185268931954414,422.13878980231516,399.3528153908646,-22.78597441145058,-22.785974411450617
BFA,1987,1988,13.92382888481616,-0.2597361776622909,399.3528153908646,413.01690809801846,13.664092707153884,13.66409270715387
BFA,1988,1989,6.70067107792609,0.06736033444368117,413.01690809801846,419.7849395103882,6.768031412369737,6.768031412369772
BFA,1989,1990,-25.860364017723562,-0.1982796609338537,419.7849395103882,393.7262958317308,-26.058643678657404,-26.058643678657415
BFA,1990,1991,7.95567546624039,0.8075588376038796,393.7262958317308,402.489530135575,8.763234303844229,8.76323430384427
BFA,1991,1992,-12.198498063088634,0.32498642635872454,402.489530135575,390.61601849884516,-11.873511636729859,-11.873511636729909
BFA,1992,1993,0.165671943183753,-1.853601630982734,390.61601849884516,388.9280888110461,-1.6879296877990555,-1.687929687798981
BFA,1993,1994,-4.484766573350223,-8.650160330917739,388.9280888110461,375.7931619067782,-13.1349269042679,-13.134926904267962
BFA,1994,1995,9.286063927093613,10.687071291604397,375.7931619067782,395.76629712547617,19.973135218697962,19.973135218698012
BFA,1995,1996,9.812958918127961,10.642561854005201,395.76629712547617,416.2218178976094,20.45552077213324,20.455520772133163
BFA,1996,1997,-0.952585173490049,11.393936103929168,416.2218178976094,426.66316882804847,10.441350930439057,10.441350930439118
BFA,1997,1998,17.31326069315095,11.364564727638333,426.66316882804847,455.3409942488378,28.677825420789304,28.677825420789283
BFA,1998,1999,36.06012410676355,13.191670502535036,455.3409942488378,504.5927888581364,49.2517946092986,49.251794609298585
BFA,1999,2000,0.26637906161293146,13.631999659006219,504.5927888581364,518.4911675787555,13.898378720619121,13.898378720619151
BFA,2000,2001,10.334803656496979,13.648255166223493,518.4911675787555,542.474226401476,23.983058822720523,23.983058822720473
BFA,2001,2002,-8.631212846372303,13.873392286487645,542.474226401476,547.7164058415913,5.242179440115251,5.242179440115342
BFA,2002,2003,28.824958980652063,14.905020211778787,547.7164058415913,591.4463850340222,43.72997919243096,43.72997919243085
BFA,2003,2004,-6.809906546899402,15.82048214545079,591.4463850340222,600.4569606325736,9.010575598551327,9.010575598551387
BFA,2004,2005,15.685894343647309,16.089286329392095,600.4569606325736,632.2321413056129,31.77518067303936,31.775180673039404
BFA,2005,2006,23.946623615840135,17.606891965987664,632.2321413056129,673.7856568874408,41.553515581827924,41.553515581827796
BFA,2006,2007,-47.04375066313269,42.23043455885088,673.7856568874408,668.972340783159,-4.813316104281853,-4.81331610428181
BFA,2007,2008,-4.41749946801492,37.61021215367666,668.972340783159,702.1650534688208,33.19271268566183,33.192712685661746
BFA,2008,2009,-53.65415691470565,39.47512485840772,702.1650534688208,687.9860214125229,-14.179032056297956,-14.179032056297935
BFA,2009,2010,-5.07538775463048,38.27520140526182,687.9860214125229,721.1858350631542,33.19981365063131,33.19981365063134
BFA,2010,2011,-38.39558491731415,39.34705185053823,721.1858350631542,722.1373019963783,0.9514669332240828,0.9514669332240757
BFA,2011,2012,-46.68187498675648,30.571650178650966,722.1373019963783,706.0270771882726,-16.110224808105613,-16.110224808105517
BFA,2012,2013,-43.21798563408747,24.02993220244827,706.0270771882726,686.8390237566334,-19.18805343163922,-19.1880534316392
BFA,2013,2014,-40.13670861821354,19.263087497151005,686.8390237566334,665.965402635571,-20.873621121062456,-20.873621121062534
BFA,2014,2015,-6.894487137162045,6.302438399120638,665.965402635571,665.3733538975296,-0.5920487380413988,-0.5920487380414068
BFA,2015,2016,26.93461219703069,0.4527934753944973,665.3733538975296,692.7607595699548,27.38740567242519,27.38740567242519
BFA,2016,2017,-5.326605109618788,3.273090325368093,692.7607595699548,690.707244785704,-2.0535147842507513,-2.0535147842506944
BWA,1968,1969,-0.3606997033727599,3.648777520374147,23.12542458793901,26.413502404940395,3.288077817001387,3.288077817001387
BWA,1969,1970,1.4396424701705142,2.775273549519603,26.413502404940395,30.628418424630514,4.2149160196901185,4.214916019690117
BWA,1970,1971,6.350125027542504,-0.15877897273047004,30.628418424630514,36.81976447944255,6.191346054812033,6.191346054812033
BWA,1971,1972,1.8885313447128245,2.3049192404964938,36.81976447944255,41.01321506465186,4.1934505852093125,4.193450585209318
BWA,1972,1973,1.7388673206691845,2.803275620949738,41.01321506465186,45.55535800627079,4.542142941618927,4.5421429416189225
BWA,1973,1974,-0.1974156285206873,0.99412741624832,45.55535800627079,46.35206979399842,0.7967117877276308,0.7967117877276327
BWA,1974,1975,-5.329530067375487,0.5033845539433638,46.35206979399842,41.5259242805663,-4.826145513432117,-4.826145513432123
BWA,1975,1976,7.2979842512751985,-1.157901111664807,41.5259242805663,47.66600742017669,6.14008313961039,6.140083139610391
BWA,1976,1977,0.007665641194989942,-0.39729695511746166,47.66600742017669,47.27637610625422,-0.38963131392247163,-0.38963131392247174
BWA,1977,1978,8.100968471664917,-0.12469079703555808,47.27637610625422,55.25265378088358,7.976277674629358,7.976277674629359
BWA,1978,1979,-1.7717600500101898,3.471623300376666,55.25265378088358,56.952517031250046,1.6998632503664695,1.6998632503664761
BWA,1979,1980,4.556929629378199,1.524562723051587,56.952517031250046,63.03400938367984,6.081492352429791,6.081492352429786
BWA,1980,1981,-4.580655607058522,-0.013372895270418628,63.03400938367984,58.4399808813509,-4.594028502328939,-4.594028502328941
