iso3,year0,year1,broad_sector,employment_share_0,employment_share_1,productivity_0,productivity_1,within,structural_change,contribution_productivity_0,contribution_productivity_1,within_level,structural_change_level,actual_change,decomposed_change,short_series
AGO,2005,2010,Agriculture,0.38412550292789943,0.4872619910766173,131.68126797322097,112.15594142867714,-0.1482771759800684,0.2286848966703793,50.582133286397,54.64932733160969,-7.500175878754364,11.567369923967052,0.0804077206903109,0.08040772069031091,True
AGO,2005,2010,Manufacturing,0.08627844097429095,0.07857666984301735,5061.84945665711,5831.331541949219,0.17245594273850204,-0.12327635871162318,436.72850162592357,458.20662766856856,75.31642546867207,-53.83829942602706,0.04917958402687881,0.04917958402687886,True
AGO,2005,2010,Services,0.5295960560978096,0.4341613390803654,638.8416673866577,864.3065729256472,0.26725661950872537,-0.15813034204546977,338.32802476154933,375.24850266527335,90.420404182836,-53.49992627911196,0.10912627746325552,0.1091262774632556,True
AGO,2010,2015,Agriculture,0.4872619910766173,0.4938854503129491,112.15594142867714,142.4206623959554,0.2698450084922551,0.017261282029456305,54.64932733160969,70.33949298129492,14.746848197894247,0.9433174517909897,0.2871062905217114,0.28710629052171144,True
AGO,2010,2015,Manufacturing,0.07857666984301735,0.07877088216156714,5831.331541949219,5742.98993509166,0.05053114984364324,-0.0632465346724256,458.20662766856856,452.38035406666415,23.153707762070887,-28.979981363975323,-0.012715384828782273,-0.012715384828782351,True
AGO,2010,2015,Services,0.4341613390803654,0.4273436675254837,864.3065729256472,954.6630569126652,0.08489799018858386,0.0022994414434709277,375.24850266527335,407.9692083214594,31.857843697557165,0.8628619586289403,0.08719743163205466,0.08719743163205479,True
BFA,1970,1975,Agriculture,0.8837119511980641,0.8841272045052694,68.13530337523022,90.53802474045023,0.32879755802722743,0.000624397553783242,60.21198189119674,80.04713071520318,19.797552609805127,0.03759621420130411,0.3294219555810108,0.3294219555810107,False
BFA,1970,1975,Manufacturing,0.035348150522756756,0.03522192621641311,1983.5761230469593,2135.6012240533605,0.07664188929752276,-0.0038445670051747405,70.1157498981814,75.21998874128899,5.373803541709212,-0.2695646986016324,0.07279732229234803,0.07279732229234802,False
BFA,1970,1975,Services,0.08093989827917909,0.0806508692783175,901.850043162389,993.5595562228866,0.10169042306312148,-0.003934042194991638,72.99565120795333,80.13144188915518,7.422958653104828,-0.2871679719029807,0.09775638086812993,0.09775638086812985,False
BFA,1975,1980,Agriculture,0.8841272045052694,0.8845195917202507,90.53802474045023,142.11508338296468,0.5696728947905912,0.0006966413571260476,80.04713071520318,125.70357553118932,45.60068067421065,0.055764141775485276,0.5703695361477173,0.5703695361477172,False
