broad_sector,event_time,within,within,structural_change,structural_change
,,mean,sem,mean,sem
Agriculture,-10.0,1.7988347359154926,1.1813982577282227,-1.7051450379348374,1.204787492221702
Agriculture,-9.0,2.3682345681363786,2.431423967037933,-1.8884426995250536,1.3613375904918419
Agriculture,-8.0,2.602818219485207,2.0063813022714374,-2.7888157782662595,1.5461585009934506
Agriculture,-7.0,1.0748515330206794,1.729545895293671,-2.4529575032005098,1.838607747264356
Agriculture,-6.0,-1.6000847289717057,3.250838973455258,-1.7549779403498118,0.8755974993741249
Agriculture,-5.0,1.1611459117730627,2.140724039347774,-1.7335317713753284,1.123786972198905
Agriculture,-4.0,-1.2820058734919508,3.018776015781715,-1.5712912585187722,1.0749518553328024
Agriculture,-3.0,-0.12925359026236827,0.9811778275626655,-0.758653592761071,0.34917289158666837
Agriculture,-2.0,0.007277271591702885,2.2378776819529373,-0.490179612173161,0.29211241871248844
Agriculture,-1.0,2.2802486817950687,1.9081591289978874,-0.7679678224216008,0.5030384001539929
Agriculture,0.0,2.67515263518407,2.194051691195829,-2.7947262199277816,2.3918002598522907
Agriculture,1.0,2.66251369029111,1.4231332818119227,-2.476526870123781,1.9060507114122058
Agriculture,2.0,1.1001967675145257,0.6864229660850298,-2.2116198137423826,1.937514485155866
Agriculture,3.0,-4.978658741678487,6.333645512892209,3.1556139691251714,4.377429646035072
Agriculture,4.0,3.0860665291822844,2.2115581822992554,-1.7660252255357618,0.947956717892459
Agriculture,5.0,0.9835833491872163,1.1774603942136797,-0.6282285009680723,0.3260302365584203
Agriculture,6.0,0.8875622058877429,0.987065862849761,-0.2500391396525974,0.14704729319761836
Agriculture,7.0,1.1901824824853997,1.6959016535913332,-0.8762528424765728,0.37895501428634004
Manufacturing,-10.0,-1.7510582031887918,2.0612912832571135,2.2358918916591364,1.8027165628715804
Manufacturing,-9.0,-1.047549341726334,2.2516113800556736,1.9374917986275717,1.9790226741320525
Manufacturing,-8.0,-4.123403362985409,1.864688117942549,4.647155229316366,2.7757035228991387
Manufacturing,-7.0,-4.309026620738391,3.049946458873311,4.140313335465483,3.1454226876555125
Manufacturing,-6.0,-3.2871967790064374,4.132116559202717,3.765421139178716,2.50447677104253
Manufacturing,-5.0,-3.6443714388448685,4.355339328086358,4.30284170050647,2.8457089123096844
Manufacturing,-4.0,-2.3531481443973563,1.8916601533509196,3.754907584950032,2.774280512636801
Manufacturing,-3.0,1.5109298999225627,1.1990263747509595,1.6499687545026278,1.2283157310764075
Manufacturing,-2.0,-5.434489408872964,6.815464567711103,2.0575458444490957,1.3328182516984899
Manufacturing,-1.0,-0.26120141673254565,2.084203802147415,0.2712748505623353,1.5200353604300822
Manufacturing,0.0,0.12244776291679814,1.9707034538515766,2.239759447612383,1.8594503188782816
Manufacturing,1.0,1.097621288969325,2.5175929073033743,3.6385394586241295,2.7626609335665533
Manufacturing,2.0,-0.27063640311108234,1.4307466343233972,-0.183330948973606,0.5907314761877427
Manufacturing,3.0,5.43941256868895,3.7880831136001007,-3.3839916036201947,5.416590722054651
Manufacturing,4.0,0.7578384569002927,1.1401458042016182,2.11041124196857,1.1822014484619212
Manufacturing,5.0,2.9856136254734524,1.6599073072046486,2.286125177603998,1.4700923704772133
Manufacturing,6.0,4.500208850178362,2.7145086034824937,1.1630387328664982,1.0420549104086994
Manufacturing,7.0,0.6737150692713049,2.0629916525722125,2.5398255438469217,1.4795702493328065
Services,-10.0,-5.237589535730612,5.052358619851194,9.028051628521796,6.372249175647709
Services,-9.0,-5.819706186070952,4.898698180180992,10.203843929480131,6.661996210753856
Services,-8.0,-6.3421637329825815,5.81491345399133,13.261975536403163,7.311491968070432
Services,-7.0,-8.834021794631395,6.801272832755433,12.469779354347292,7.643129298385972
Services,-6.0,-1.9042116158191305,3.9054318099103913,7.47760697916111,4.2964584714980045
Services,-5.0,0.9770862762077913,5.26173078486063,7.435988011995949,5.216176751539675
Services,-4.0,4.797966142792167,6.106187740707749,5.886272155105396,4.341747552474828
Services,-3.0,5.194015476649875,3.6183497290645645,2.7314856934607596,1.3338524053673475
Services,-2.0,5.263457198588545,7.104374972747245,0.8711781884195706,0.6936685677825747
Services,-1.0,0.40464160472921257,3.034500360608694,4.124905014766153,2.3339903848560972
Services,0.0,-6.774795577508805,10.534895712002374,14.714301996744894,13.173547428275569
Services,1.0,3.637269691493098,3.1552912641049136,10.705200096052003,8.952848406529036
Services,2.0,-4.826037846250446,11.32076465477898,12.025641189262592,10.810804471317361
Services,3.0,25.33829553671991,27.054244870686272,-21.035854995691768,27.493333249806653
Services,4.0,1.0875423087565235,4.223485028577795,8.111176826497507,4.537837256577444
Services,5.0,5.429430757915273,2.3672638271561186,2.0177076785771124,1.4909866917089505
Services,6.0,8.323039054903015,3.460128624183924,0.5037817690527149,0.5073629894084938
Services,7.0,4.242336772513563,1.4433605915561825,3.3419911096939665,1.5048545204835908
