iso3,year0,year1,broad_sector,employment_share_0,employment_share_1,productivity_0,productivity_1,within,structural_change,short_series,country_productivity_0,country_productivity_1,country_actual_change,country_decomposed_change,country,country_exists_pre,depth_score_pre,agreement_type_pre,reciprocal_pre,fta_or_deeper_pre,nonreciprocal_only_pre,reciprocal_trade_share_pre,reciprocal_gdp_share_pre,gdp_african_pre,gdpcap_african_pre,pop_african_pre,wto_african_pre,gatt_african_pre,reciprocal_post,country_exists_post,treatment_status,reciprocal_interval
AGO,2005,2010,Agriculture,0.3841255029278994,0.4872619910766173,131.68126797322097,112.15594142867714,-0.1482771759800684,0.2286848966703793,True,825.6386596738698,888.1044576654516,0.0756575497763828,0.0756575497763827,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,28233699.328,1.707,16544.376,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2005,2010,Manufacturing,0.0862784409742909,0.0785766698430173,5061.84945665711,5831.331541949219,0.172455942738502,-0.1232763587116231,True,825.6386596738698,888.1044576654516,0.0756575497763828,0.0756575497763827,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,28233699.328,1.707,16544.376,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2005,2010,Services,0.5295960560978096,0.4341613390803654,638.8416673866577,864.3065729256472,0.2672566195087253,-0.1581303420454697,True,825.6386596738698,888.1044576654516,0.0756575497763828,0.0756575497763827,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,28233699.328,1.707,16544.376,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2010,2015,Agriculture,0.4872619910766173,0.4938854503129491,112.15594142867714,142.4206623959554,0.2698450084922551,0.0172612820294563,True,888.1044576654516,930.6890553694184,0.0479499875678008,0.0479499875678008,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,82470895.616,4.219,19549.124,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2010,2015,Manufacturing,0.0785766698430173,0.0787708821615671,5831.331541949219,5742.98993509166,0.0505311498436432,-0.0632465346724256,True,888.1044576654516,930.6890553694184,0.0479499875678008,0.0479499875678008,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,82470895.616,4.219,19549.124,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2010,2015,Services,0.4341613390803654,0.4273436675254837,864.3065729256472,954.6630569126652,0.0848979901885838,0.0022994414434709,True,888.1044576654516,930.6890553694184,0.0479499875678008,0.0479499875678008,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,82470895.616,4.219,19549.124,1.0,1.0,0.0,True,never_reciprocal,0
BFA,1970,1975,Agriculture,0.8837119511980641,0.8841272045052694,68.13530337523022,90.53802474045024,0.3287975580272274,0.0006243975537832,False,203.3233829973315,235.39856134564732,0.1577544986487699,0.1577544986487699,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,458404.256,0.081,5624.597,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1970,1975,Manufacturing,0.0353481505227567,0.0352219262164131,1983.5761230469595,2135.6012240533605,0.0766418892975227,-0.0038445670051747,False,203.3233829973315,235.39856134564732,0.1577544986487699,0.1577544986487699,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,458404.256,0.081,5624.597,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1970,1975,Services,0.080939898279179,0.0806508692783175,901.850043162389,993.5595562228866,0.1016904230631214,-0.0039340421949916,False,203.3233829973315,235.39856134564732,0.1577544986487699,0.1577544986487699,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,458404.256,0.081,5624.597,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1975,1980,Agriculture,0.8841272045052694,0.8845195917202507,90.53802474045024,142.11508338296468,0.5696728947905912,0.000696641357126,False,235.39856134564732,409.3853898970665,0.7391159383338187,0.7391159383338187,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,939972.672,0.153,6154.548,0.0,1.0,0.0,True,never_reciprocal,0
