iso3,year0,year1,broad_sector,employment_share_0,employment_share_1,productivity_0,productivity_1,within,structural_change
UGA,1995,1996,Manufacturing,0.029313099771455124,0.03157843377512686,9132.73842518963,9309.183614655041,5.172155442992928,21.08841018870184
UGA,1995,1996,Services,0.09682163448091742,0.10402418195928667,11186.715016268095,10715.75505550689,-45.59911317596864,77.1807345538637
UGA,1996,1997,Agriculture,0.8643973842655864,0.8538492841231703,1132.222232718011,1123.257607487219,-7.748998600417757,-11.848233729505948
UGA,1996,1997,Manufacturing,0.03157843377512686,0.03406427602964564,9309.183614655041,9498.89803092296,5.990884130303294,23.612762096633492
UGA,1996,1997,Services,0.10402418195928667,0.11208643984718399,10715.75505550689,10200.119250661748,-53.638592787934286,82.23599188614092
UGA,1997,1998,Agriculture,0.8538492841231703,0.8420978500857345,1123.257607487219,1214.4390678452678,77.85522465202516,-14.27140059826873
UGA,1997,1998,Manufacturing,0.03406427602964564,0.03678380973038537,9498.89803092296,9312.452324989696,-6.351137991452828,25.32552793434156
UGA,1997,1998,Services,0.11208643984718399,0.12111834018388018,10200.119250661748,9806.26133808796,-44.14613122603942,88.5691750812075
UGA,1998,1999,Agriculture,0.8420978500857345,0.8290132422701658,1214.4390678452678,1262.6691200259593,40.61442325088308,-16.521530236368843
UGA,1998,1999,Manufacturing,0.03678380973038537,0.03974820907611953,9312.452324989696,8935.170045131039,-13.877879596966833,26.48741223580988
UGA,1998,1999,Services,0.12111834018388018,0.1312385486537146,9806.26133808796,9286.955299701402,-62.89748541684624,93.98592368301172
UGA,1999,2000,Agriculture,0.8290132422701658,0.8144613275111792,1262.6691200259593,1284.0822361615415,17.75175683466659,-18.685855244151718
UGA,1999,2000,Manufacturing,0.03974820907611953,0.04296568875702178,8935.170045131039,8178.580113918714,-30.073094770714373,26.3144153351647
UGA,1999,2000,Services,0.1312385486537146,0.14257298373179908,9286.955299701402,8829.306808287576,-60.061123806712416,100.07520480302489
UGA,2000,2001,Agriculture,0.8144613275111792,0.798307319487061,1284.0822361615415,1320.4646898223066,29.63210150666072,-21.330797194954222
UGA,2000,2001,Manufacturing,0.04296568875702178,0.04644033465149453,8178.580113918714,7928.242178390518,-10.75594182197985,27.547834135530316
UGA,2000,2001,Services,0.14257298373179908,0.15525234586144449,8829.306808287576,8303.490940282869,-74.96713719495693,105.28296857207633
UGA,2001,2002,Agriculture,0.798307319487061,0.7804207605220799,1320.4646898223066,1315.9419967039912,-3.6104990201449234,-23.537674118540966
UGA,2001,2002,Manufacturing,0.04644033465149453,0.05017076608370407,7928.242178390518,7442.114223767048,-22.575944896160497,27.762296822434287
UGA,2001,2002,Services,0.15525234586144449,0.16940847339421605,8303.490940282869,7717.528712888821,-90.97201038912307,109.25032069748056
UGA,2002,2003,Agriculture,0.7804207605220799,0.7596767784702639,1315.9419967039912,1345.6828287107671,23.210362733287475,-27.91482044621305
UGA,2002,2003,Manufacturing,0.05017076608370407,0.054939710082668416,7442.114223767048,6902.188109969961,-27.088506757797038,32.91614856676431
UGA,2002,2003,Services,0.16940847339421605,0.18538351144706766,7717.528712888821,7104.6294328480535,-103.83033137612057,113.4967255411572
UGA,2003,2004,Agriculture,0.7596767784702639,0.7568466174262446,1345.6828287107671,1300.6559435947106,-34.205879029516495,-3.6810657832339677
UGA,2003,2004,Manufacturing,0.054939710082668416,0.05711675119196729,6902.188109969961,7153.303567052185,13.796210409374131,15.573035932766874
UGA,2003,2004,Services,0.18538351144706766,0.1860366313817882,7104.6294328480535,7338.172964309234,43.29511993802235,4.79270704741761
UGA,2004,2005,Agriculture,0.7568466174262446,0.7538438734304717,1300.6559435947106,1297.5821300333403,-2.3264053965220626,-3.8963069499798726
UGA,2004,2005,Manufacturing,0.05711675119196729,0.05941565474038034,7153.303567052185,7487.443269370466,19.08497424067126,17.212909900497166
UGA,2004,2005,Services,0.1860366313817882,0.18674047182914796,7338.172964309234,7689.005257680306,65.26765803870157,5.411832900317342
UGA,2005,2006,Agriculture,0.7538438734304717,0.7506327105237393,1297.5821300333403,1240.41558349098,-43.0946508761362,-3.9831765106390624
UGA,2005,2006,Manufacturing,0.05941565474038034,0.06185191663009009,7487.443269370466,7439.34233499111,-2.8579485097734922,18.124186215243203
UGA,2005,2006,Services,0.18674047182914796,0.18751537284617065,7689.005257680306,8133.832862673392,83.06731683903864,6.302915357578135
UGA,2006,2007,Agriculture,0.7506327105237393,0.747588087460854,1240.41558349098,1225.2454648779942,-11.38718725343215,-3.7304106000630655
UGA,2006,2007,Manufacturing,0.06185191663009009,0.06433760661987749,7439.34233499111,7457.664612680443,1.133267992113961,18.537442274931482
UGA,2006,2007,Services,0.18751537284617065,0.18807430591926852,8133.832862673392,8398.012629480558,49.53776747126012,4.693927006910314
UGA,2007,2008,Agriculture,0.747588087460854,0.7440683504482835,1225.2454648779942,1218.6378581521337,-4.9397680748795105,-4.2892847742577995
UGA,2007,2008,Manufacturing,0.06433760661987749,0.06704082677229974,7457.664612680443,7506.3687651071,3.133508599580865,20.291367317350414
UGA,2007,2008,Services,0.18807430591926852,0.18889082277941682,8398.012629480558,8893.492982861873,93.18712355882482,7.261686966117343
UGA,2008,2009,Agriculture,0.7440683504482835,0.7378262604571522,1218.6378581521337,1252.6400739551723,25.29997262415345,-7.819092068125546
UGA,2008,2009,Manufacturing,0.06704082677229974,0.06969305569217205,7506.3687651071,7433.65812284865,-4.874581572151417,19.715763053862897
UGA,2008,2009,Services,0.18889082277941682,0.19248068385067588,8893.492982861873,9001.198815265536,20.344643300869784,32.313053221584866
UGA,2009,2010,Agriculture,0.7378262604571522,0.708013225116513,1252.6400739551723,1292.672269635454,29.53680523667128,-38.53848405850604
UGA,2009,2010,Manufacturing,0.06969305569217205,0.07361693284740252,7433.65812284865,7295.9132551644025,-9.599860734829148,28.6282673484828
UGA,2009,2010,Services,0.19248068385067588,0.21836984203608448,9001.198815265536,8181.735450613929,-157.73086881871703,211.81824331210933
UGA,2010,2011,Agriculture,0.708013225116513,0.6848536938964332,1292.672269635454,1324.584351949622,22.594176319437683,-30.676752652606368
UGA,2010,2011,Manufacturing,0.07361693284740252,0.07907282328499042,7295.9132551644025,7314.025779302003,1.3333884731346788,39.90452330956519
